bookid	date1	date2	date3	date4
4754	2011-1-10			
4755	2011-1-10			
4756	2011-1-10			
4757	2011-1-10			
4758	2011-1-10			
4760	2011-1-11			
4761	2011-1-11			
4762	2011-1-12			
4763	2011-1-12			
4764	2011-1-12			
4765	2011-1-12	5~8天		
4766	2011-1-12			
4767	2011-1-12	5~8天		
4768	2011-1-12			
4769	2011-1-13			
4770	2011-1-13			
4771	2011-1-13			
4772	2011-1-14			
4773	2011-1-14	5~8天		
4774	2011-1-14			
4775	2011-1-14	1月22日		
4776	2011-1-18			
4777	2011-1-18			
4778	2011-1-18	5~8天		
4779	2011-1-18	5~8天		
4780	2011-1-18	5~8天		
4781	2011-1-18	8~10天		
4782	2011-1-18			
4783	2011-1-18	5~8天		
4784	2011-1-19	5~8天		
4785	2011-1-19	5~8天		
4786	2011-1-19	18~20天		
4787	2011-1-20	5~8天		
4788	2011-1-20	5~8天		
4789	2011-1-20	5~8天		
4790	2011-1-20	5~8天		
4791	2011-1-20	5~8天		
4792	2011-1-20	5~8天		
4793	2011-1-21	5~8天		
4794	2011-1-21			
4795	2011-1-21			
4796	2011-1-21			
4797	2011-1-21	5~8天		
4798	2011-1-24	5~8天		
4799	2011-1-24	5~8天		
4800	2011-1-25	5~8天		
4801	2011-1-25	5~8天		
4802	2011-1-26			
4803	2011-1-28	5~8天		
4804	2011-1-28	3月7日前		
4805	2011-1-28	5~8天		
4806	2011-1-28	5~8天		
4807	2011-1-28			
4808	2011-1-29	5~8天		
4809	2011-1-30	5~8天		
4810	2011-1-30			
4811	2011-1-30			
4812	2011-1-30			
4813	2011-2-8	5~8天		
4814	2011-2-8	5~8天		
4815	2011-2-8	5~8天		
4817	2011-2-8	5~8天		
4818	2011-2-8	5~8天		
4819	2011-2-8	5~8天		
4820	2011-2-8	5~8天		
4822	2011-2-8	5~8天		
4823	2011-2-8	假期后2天		
4824	2011-2-8	5~8天		
4825	2011-2-8	5~8天		
4826	2011-2-8			
4827	2011-2-8			
4828	2011-2-8	5~8天		
4829	2011-2-8	5~8天		
4830	2011-2-8	5~8天		
4831	2011-2-9	5~8天		
4832	2011-2-9	5~8天		
4833	2011-2-9	5~8天		
4834	2011-2-9	5~8天		
4835	2011-2-9	5~8天		
4836	2011-2-9			
4837	2011-2-9	5~8天		
4838	2011-2-9	2月23日前交货		
4840	2011-2-9	2月18日前		
4841	2011-2-9	5~8天		
4842	2011-2-9			
4843	2011-2-10	5~8天		
4844	2011-2-10	5~8天		
4845	2011-2-10	5~8天		
4846	2011-2-10	5~8天		
4847	2011-2-10	5~8天		
4848	2011-2-10	5~8天		
4849	2011-2-10			
4850	2011-2-11	5~8天		
4851	2011-2-11	5~8天		
4852	2011-2-11	5~8天		
4853	2011-2-12	5~8天		
4854	2011-2-12	5~8天		
4855	2011-2-14			
4856	2011-2-14			
4857	2011-2-14			
4858	2011-2-14			
4859	2011-2-15	5~8天		
4860	2011-2-16	5~8天		
4861	2011-2-16	5~8天		
4863	2011-2-16	5~8天		
4864	2011-2-16	5~8天		
4865	2011-2-16	5~8天		
4866	2011-2-16	3月10号前		
4867	2011-2-17	2月24号前交货		
4868	2011-2-17	5~8天		
4869	2011-2-17	5~8天		
4870	2011-2-17			
4871	2011-2-17	5~8天		
4872	2011-2-17	5~8天		
4873	2011-2-17	5~8天		
4874	2011-2-21			
4875	2011-2-21			
4876	2011-2-21	5~8天		
4877	2011-2-21	5~8天		
4878	2011-2-21			
4879	2011-2-22	5~8天		
4880	2011-2-23	5~8天		
4881	2011-2-23	3周		
4882	2011-2-23	5~8天		
4883	2011-2-23	5~8天		
4884	2011-2-24	3月下旬		
4885	2011-2-24	5~8天		
4886	2011-2-24	10~12天		
4887	2011-2-25	5~8天		
4888	2011-2-25	5~8天		
4889	2011-2-25	5~8天		
4890	2011-2-25	5~8天		
4891	2011-2-25	5~8天		
4892	2011-2-25	5~8天		
4893	2011-2-25	3月10号前		
4894	2011-2-25	5~8天		
4895	2011-2-25	5~8天		
4896	2011-2-25	5~8天		
4897	2011-2-25			
4898	2011-2-25	7days		
4899	2011-3-1	2周		
4900	2011-3-1	5~8天		
4901	2011-3-1	5~8天		
4902	2011-3-1	5~8天		
4903	2011-3-1	5~8天		
4904	2011-3-2	5~8天		
4905	2011-3-2			
4906	2011-3-2	5~8天		
4907	2011-3-2			
4908	2011-3-2	5~8天		
4909	2011-3-3	5~8天		
4910	2011-3-4	5~8天		
4911	2011-3-7	5~8天		
4912	2011-3-7			
4913	2011-3-7	5~8天		
4914	2011-3-7	5~8天		
4915	2011-3-7	5~8天		
4916	2011-3-7	5~8天		
4917	2011-3-8	5~8天		
4918	2011-3-8	5~8天		
4919	2011-3-8	5~8天		
4920	2011-3-9	5~8天		
4921	2011-3-9	5~8天		
4922	2011-3-9	5~8天		
4923	2011-3-9	5~8天		
4924	2011-3-9	5~8天		
4925	2011-3-9	5~8天		
4926	2011-3-9	5~8天		
4927	2011-3-9	5~8天		
4928	2011-3-10	5~8天		
4929	2011-3-10	5~8天		
4930	2011-3-11	5~8天		
4931	2011-3-11	5~8天		
4932	2011-3-11	5~8天		
4933	2011-3-11	5~8天		
4934	2011-3-11	5~8天		
4935	2011-3-11	5~8天		
4936	2011-3-11	5~8天		
4937	2011-3-11	5~8天		
4938	2011-3-14	5~8天		
4939	2011-3-14	5~8天		
4940	2011-3-14	5~8天		
4941	2011-3-14	5~8天		
4942	2011-3-14			
4943	2011-3-14	5~8天		
4944	2011-3-15	5~8天		
4945	2011-3-15	5~8天		
4946	2011-3-15	20天交货		
4947	2011-3-15	5~8天		
4948	2011-3-16	5~8天		
4949	2011-3-16	5~8天		
4950	2011-3-17			
4951	2011-3-17	5~8天		
4952	2011-3-17	5~8天		
4953	2011-3-17	5~8天		
4954	2011-3-17	5~8天		
4955	2011-3-17	5~8天		
4956	2011-3-17	5~8天		
4957	2011-3-18	5~8天		
4958	2011-3-18	5~8天		
4959	2011-3-18	5~8天		
4960	2011-3-18	5~8天		
4961	2011-3-22	5~8天		
4962	2011-3-22	5~8天		
4963	2011-3-22	4月初有货		
4964	2011-3-22	5~8天		
4965	2011-3-22	5~8天		
4966	2011-3-22	5~8天		
4967	2011-3-22	5~8天		
4968	2011-3-22	5~8天		
4969	2011-3-23	5~8天		
4970	2011-3-23	5~8天		
4971	2011-3-24	5~8天		
4972	2011-3-24	5~8天		
4973	2011-3-24	5~8天		
4974	2011-3-24	5~8天		
4975	2011-3-24	5~8天		
4976	2011-3-24	5~8天		
4977	2011-3-24	5~8天		
4978	2011-3-25	5~8天		
4979	2011-3-25	5~8天		
4980	2011-3-25	先发25克 4月中旬再发25克		
4981	2011-3-28	5~8天		
4982	2011-3-28	5~8天		
4983	2011-3-28	5~8天		
4984	2011-3-28	5~8天		
4985	2011-3-30	5~8天		
4986	2011-3-30	5~8天		
4987	2011-3-30	5~8天		
4988	2011-3-30	5~8天		
4989	2011-3-30	5~8天		
4990	2011-3-31	5~8天		
4991	2011-3-31	5~8天		
4992	2011-3-31	5~8天		
4993	2011-4-1	5~8天		
4994	2011-4-1	5~8天		
4995	2011-4-1	5~8天		
4996	2011-4-1	5~8天		
4997	2011-4-1	5~8天		
4998	2011-4-2	5~8天		
4999	2011-4-2	5~8天		
5000	2011-4-2	5~8天		
5001	2011-4-6	5~8天		
5002	2011-4-6	5~8天		
5003	2011-4-6	5~8天		
5004	2011-4-6	5~8天		
5005	2011-4-7	5~8天		
5006	2011-4-7	5~8天		
5007	2011-4-7	5~8天		
5008	2011-4-7	5~8天		
5009	2011-4-8	5~8天		
5010	2011-4-8	5~8天		
5011	2011-4-11	5~8天		
5012	2011-4-11			
5013	2011-4-11			
5014	2011-4-11			
5015	2011-4-12			
5016	2011-4-13	5~8天		
5017	2011-4-13			
5018	2011-4-13	5~8天		
5019	2011-4-13	5~8天		
5020	2011-4-13	5~8天		
5021	2011-4-13	5~8天		
5022	2011-4-13	5~8天		
5023	2011-4-13	5~8天		
5024	2011-4-13	5~8天		
5025	2011-4-13	5~8天		
5026	2011-4-13	5~8天		
5027	2011-4-13	定制15天		
5028	2011-4-13			
5029	2011-4-13	5~8天		
5030	2011-4-13	5~8天		
5031	2011-4-13			
5032	2011-4-13			
5033	2011-4-14	5~8天		
5034	2011-4-14			
5035	2011-4-14	5~8天		
5036	2011-4-15	5~8天		
5037	2011-4-15			
5038	2011-4-15			
5039	2011-4-15			
5040	2011-4-15			
5041	2011-4-15			
5042	2011-4-15	5~8天		
5043	2011-4-18			
5044	2011-4-18			
5045	2011-4-18			
5046	2011-4-18			
5047	2011-4-18			
5048	2011-4-19			
5049	2011-4-19	5~8天		
5050	2011-4-19	5~8天		
5051	2011-4-19			
5052	2011-4-21	5~8天		
5053	2011-4-21	5~8天		
5054	2011-4-21	5~8天		
5055	2011-4-21	5~8天		
5056	2011-4-21	5~8天		
5057	2011-4-21	5~8天		
5058	2011-4-21	5~8天		
5059	2011-4-21	5~8天		
5060	2011-4-21	5~8天		
5061	2011-4-25	5~8天		
5062	2011-4-25	5~8天		
5063	2011-4-25			
5064	2011-4-25	5~8天		
5065	2011-4-25	5~8天		
5066	2011-4-26			
5067	2011-4-26			
5068	2011-4-28			
5069	2011-4-29	2-3周		
5070	2011-4-29	5~8天		
5071	2011-4-29	5~8天		
5073	2011-4-29	5~8天		
5074	2011-4-29	5~8天		
5075	2011-4-29			
5076	2011-4-29			
5077	2011-5-3	5~8天		
5078	2011-5-3	5~8天		
5079	2011-5-3	5~8天		
5080	2011-5-3	5~8天		
5081	2011-5-3	5~8天		
5082	2011-5-3	5~8天		
5083	2011-5-3	5~8天		
5084	2011-5-3	5~8天		
5085	2011-5-4	5~8天		
5086	2011-5-4	5~8天		
5087	2011-5-4	5~8天		
5088	2011-5-4	5~8天		
5089	2011-5-4	5~8天		
5090	2011-5-4	5~8天		
5091	2011-5-4	5~8天		
5092	2011-5-4	5~8天		
5093	2011-5-4	5~8天		
5094	2011-5-4	5~8天		
5095	2011-5-4	5~8天		
5096	2011-5-4	5~8天		
5097	2011-5-4	5~8天		
5098	2011-5-4	5~8天		
5099	2011-5-4			
5100	2011-5-4	5~8天		
5101	2011-5-4	5~8天		
5102	2011-5-5	5~8天		
5103	2011-5-5	5~8天		
5104	2011-5-5	5~8天		
5105	2011-5-6	5~8天		
5106	2011-5-6	5~8天		
5107	2011-5-9	5~8天		
5108	2011-5-9	5~8天		
5109	2011-5-9	5~8天		
5110	2011-5-9	5~8天		
5111	2011-5-9	5~8天		
5112	2011-5-9	5~8天		
5113	2011-5-9	5~8天		
5114	2011-5-10	5~8天		
5115	2011-5-10	5~8天		
5116	2011-5-11	5~8天		
5117	2011-5-11	5~8天		
5118	2011-5-12	5~8天		
5119	2011-5-12	5~8天		
5120	2011-5-12	5~8天		
5121	2011-5-12	5~8天		
5122	2011-5-12	5~8天		
5123	2011-5-12	5~8天		
5124	2011-5-12	5~8天		
5125	2011-5-13	5~8天		
5126	2011-5-13			
5127	2011-5-13	5~8天		
5128	2011-5-13	5~8天		
5129	2011-5-13	5~8天		
5130	2011-5-13	5~8天		
5131	2011-5-13	5~8天		
5132	2011-5-13	5~8天		
5133	2011-5-16	5~8天		
5134	2011-5-16	5~8天		
5135	2011-5-16			
5136	2011-5-16	5~8天		
5137	2011-5-16	5~8天		
5138	2011-5-16	5~8天		
5139	2011-5-16	5~8天		
5140	2011-5-17	5~8天		
5141	2011-5-17	5~8天		
5142	2011-5-17	5~8天		
5143	2011-5-19	5~8天		
5144	2011-5-19	5~8天		
5145	2011-5-19	5~8天		
5146	2011-5-20	5~8天		
5147	2011-5-20	5~8天		
5148	2011-5-20	5~8天		
5149	2011-5-20	5~8天		
5150	2011-5-20	5~8天		
5151	2011-5-20	5~8天		
5152	2011-5-20	5~8天		
5153	2011-5-20	5~8天		
5154	2011-5-20	5~8天		
5155	2011-5-23			
5156	2011-5-24	5~8天		
5157	2011-5-24	5~8天		
5158	2011-5-24	5~8天		
5159	2011-5-24	一周后出货		
5160	2011-5-24	5~8天		
5161	2011-5-24	一周后出货		
5162	2011-5-24			
5163	2011-5-24	5~8天		
5164	2011-5-24			
5165	2011-5-24	5~8天		
5166	2011-5-24	5~8天		
5167	2011-5-25	5~8天		
5168	2011-5-25			
5170	2011-5-25	5~8天		
5171	2011-5-25	5~8天		
5172	2011-5-26	5~8天		
5173	2011-5-26	5~8天		
5174	2011-5-26	5~8天		
5175	2011-5-26	5~8天		
5176	2011-5-26			
5177	2011-5-26	5~8天		
5178	2011-5-26	5~8天		
5179	2011-5-26	5~8天		
5180	2011-5-26	5~8天		
5181	2011-5-26	5~8天		
5182	2011-5-26			
5183	2011-5-26	5~8天		
5184	2011-5-27	5~8天		
5185	2011-5-27	一周后出货		
5186	2011-5-27			
5187	2011-5-30	5~8天		
5188	2011-5-30	5~8天		
5189	2011-5-31	5~8天		
5190	2011-5-31	5~8天		
5191	2011-5-31	5~8天		
5192	2011-5-31			
5193	2011-5-31			
5194	2011-6-1	5~8天		
5195	2011-6-1	5~8天		
5196	2011-6-2	5~8天		
5197	2011-6-2	5~8天		
5198	2011-6-2	5~8天		
5199	2011-6-2	5~8天		
5200	2011-6-2			
5201	2011-6-2	5~8天		
5202	2011-6-2	5~8天		
5203	2011-6-2	5~8天		
5204	2011-6-3	5~8天		
5205	2011-6-3	5~8天		
5206	2011-6-3	5~8天		
5207	2011-6-3	5~8天		
5208	2011-6-3	5~8天		
5209	2011-6-3	5~8天		
5212	2011-6-8	5~8天		
5213	2011-6-9	5~8天		
5214	2011-6-9	5~8天		
5215	2011-6-9	5~8天		
5216	2011-6-9	5~8天		
5217	2011-6-9	5~8天		
5218	2011-6-9	5~8天		
5219	2011-6-10	5~8天		
5220	2011-6-10	5~8天		
5221	2011-6-10	5~8天		
5222	2011-6-10	5~8天		
5223	2011-6-13	5~8天		
5224	2011-6-13	5~8天		
5225	2011-6-13	5~8天		
5226	2011-6-13	5~8天		
5227	2011-6-13			
5228	2011-6-13			
5229	2011-6-13	5~8天		
5230	2011-6-15	5~8天		
5231	2011-6-15	5~8天		
5232	2011-6-15	5~8天		
5233	2011-6-15	5~8天		
5234	2011-6-15			
5235	2011-6-15	5~8天		
5236	2011-6-16	5~8天		
5237	2011-6-16	5~8天		
5238	2011-6-16			
5239	2011-6-16	5~8天		
5240	2011-6-17	5~8天		
5241	2011-6-17	5~8天		
5242	2011-6-17	5~8天		
5243	2011-6-17	5~8天		
5244	2011-6-20	5~8天		
5245	2011-6-22	5~8天		
5246	2011-6-22			
5247	2011-6-22			
