bookid,paixu,CASno,bookname,enbookname,ordernum,fapiaonum,krname,date1,date2,cjsl,style,price1,price2,ysfs,ysfy,hl,zsh,huokuan,lirun,yundan,date3,cpgg,baozhuang,isyp,gyscontact,gysname,iskucun,kucun,fj1,fj2,ywy,isjs,isdh,isfh,isfp,isfxbg,zhfrom,ists,date4,issh,iskp,isgcfp,mylx,ishx,date5,iswcts,ishkqf,qgchk,krqk,isok,krkpdz,krfhdz,content
4754,1,506-30-9,二十碳饱和脂肪酸;二十酸;花生酸,,32496,5928,0002-英国-Mol,2011-1-10,,500克,0,,80,,,,80,0,370,TNT单号是389624379,,,,0,王先生 13397480388,四川天宇油脂化学有限公司,0,,,,蓝海霞,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4755,1,123-92-2,乙酸异戊酯,,,,,2011-1-10,,170公斤,0,16/公斤,,海运,,,0,0,0,,,,170公斤一桶,0,沈先生 0523-83561588,兴化市兴艺达香料厂,0,,,,蓝海霞,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4756,1,542-05-2,1comma_format_wuq3-丙酮二羧酸,,32495,5925,0002-英国-Mol,2011-1-10,,1公斤,0,480/公斤,160,,,,160,0,400,TNT单号是389624379,,97%含量,,0,021-50460499,上海巴迪生物医药科技有限公司,0,,,,马燕芬,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4757,1,7790-21-8,过碘酸钾,,,,,2011-1-10,,50公斤,0,250/公斤,,,,,0,0,0,,,,,0,813-2405130陈小姐,自贡市金典化工有限公司,0,,,,无,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4758,1,137234-62-9,伏立康唑,,32502,5931,0002-英国-Mol,2011-1-10,,50克,0,1500/50克,320,,,,320,1500,530,TNT单号是389624379,,99%含量,,0,010-83386766丁经理,北京联本医药化学技术有限公司,0,,,,无,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4760,1,446-36-6,5-氟-2-硝基苯酚,5-Fluoro-2-nitrophenol,410004,,0001-德国-CHEM,2011-1-11,,5kg,0,900/公斤,975,TNT,,,975,4500,1300,389 624 113,,,,0,柳经理 0519-83299352,常州迅达化工有限公司,0,,,,,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4761,1,57455-37-5,颜料蓝 29,,410007,,chemos,2011-1-11,,1克,0,0,USD65,TNT,,,0,0,300,547 376 019,,,,0,徐先生 0512-5786 3968,昆山市中星染料化工有限公司,0,,,,,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4762,1,75128-73-3,双乙酰阿昔洛韦,Diacetylacyclovir,32512,5936,0002-英国-Mol,2011-1-12,,25克,0,免费,85,,,,85,0,400,TNT单号是389624379,,,,0,0563-7085504殷先生,安徽李氏化工有限公司,0,,,,倪华英,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4763,1,78110-38-0,氨曲南,Aztreonam,32511,,0002-英国-Mol,2011-1-12,,100克,0,950元,245,TNT,,,245,0,590,389 624 073,,,,0,15853759980  张,上海立科药物化学有限公司,0,,,,赵国梁,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4764,1,28315-93-7,5-羟基-1-四氢萘酮,5-Hydroxy-1-tetralone,32508,5946,0002-英国-Mol,2011-1-12,,100克,0,500元,USD170,TNT,,,170,500,450,389 624 334,,,,0,021-50702305周先生,上海鲁瑞精细化工有限公司,0,,,,倪华英,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4765,1,10310-21-1,2-氨基-6-氯嘌呤,2-Amino-6-chloropurine,80693,,0003-德国-Mol,2011-1-12,5~8天,1公斤,0,500元,USD148,TNT,,,148,500,320,389 624 127,,,,0,0519-82726678comma_format_wuq82726378comma_format_wuq013906146678 赵小姐,金坛市茂盛化工有限公司,0,,,,倪华英,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4766,1,30361-29-6,(Ecomma_format_wuqE)-2comma_format_wuq4-十一烷二烯醛,,410013,,0001-德国-CHEM,2011-1-12,,10克,0,100,USD70,TNT,,,70,100,200,389 624 113,,,,0,梁小姐0311-85737979,石家庄利达化学品有限公司,0,,,,马燕芬,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4767,1,82410-32-0,更息洛韦,,32504,5932,0002-英国-Mol,2011-1-12,5~8天,5克,0,,USD80,,,,80,0,370,TNT单号是389624379,,,,0,572-8435687-陈,浙江浙北药业有限公司,0,,,,倪华英,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4768,1,87-42-3,6-氯嘌呤,6-Chloropurine,80694,5395,0003 德国-Mole,2011-1-12,,1公斤,0,300元,USD159,TNT,,,159,300,650,389 624 348,,,,0,13805787179 0571-88843445 马先生,杭州同明医化科技开发有限公司,0,,,,无,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4769,1,67443-38-3,5-溴-2-氯-3-硝基吡啶,,,,005-Reddy-US,2011-1-13,,1.25kg,0,4000元,USD785,TNT,,,785,4000,750,389 624 365,,,,0,0418-2868000 王先生,阜新峰成化工科技发展有限公司,0,,,,马燕芬,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4770,1,7085-85-0,α-氰基丙烯酸乙酯,,,,,2011-1-13,,300克,0,,,,,,0,0,0,,,,,0,陈小姐 86-0539-7160201,临沂市同瞽胶粘剂有限公司,0,,,,蓝海霞,0,0,0,0,0,,0,,0,0,0,0,0,,0,1,,,0,,,
4771,1,16774-21-3,硝酸铈铵,Ammonium cerium (IV) nitrate,80698,5393,0003-德国-Mol,2011-1-13,,10kg,0,450元包运费,USD360,TNT,,,360,450,1250,389 624 348,,,,0,0537-6218566宋经理,鱼台县清达精细化工厂,0,,,,马燕芬,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4772,1,87392-05-0,R-(+)-四氢呋喃甲酸,(R)-(+)-Tetrahydro-2-furoic acid,32521,5926,0002-英国-Mol,2011-1-14,,1kg,0,2200元,USD479,,,,479,2200,700,TNT单号是389624379,,,,0,杨先生(13921092068),常州伊思特化工有限公司,0,,,,马燕芬,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4773,1,126-73-8,磷酸三丁酯,,32517,,0002-英国-Mol,2011-1-14,5~8天,1kg,0,,USD95,TNT,,,95,50,380,389 624 100,,,,0,13506192512姚先生,无锡市红星化工厂,0,,,,倪华英,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4774,1,3433-80-5,2-溴溴苄,2-Bromobenzyl bromide,32519,5945,0002-英国-Mol,2011-1-14,,11kg,0,280/kg,USD869,TNT,,,869,3080,2000,389 624 334,,,,0,0510-85581486杨先生,无锡南方化学助剂厂,0,,,,赵国梁,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4775,1,107-36-8,羟乙基磺酸,,410025,,0001-德国-CHEM,2011-1-14,1月22日,50克,0,200元,USD120,TNT,,,120,200,520,389 624 113,,,,0,邓小姐 025-84391596,南京旋光科技有限公司,0,,,,赵国梁,0,1,1,0,0,,0,,0,0,0,0,0,,0,1,,,0,,,
4776,1,58-96-8,尿嘧啶核苷(尿苷,,32530,5956,0002-英国-Mol,2011-1-18,,10公斤,0,850/kg,149/kg,TNT,,,1490,8500,400,389 624 073,,,,0,0533-5330845张小姐,山东凯盛生物有限公司,0,,,,马燕芬,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4777,1,6638-79-5,Ncomma_format_wuqO-二甲基羟胺盐酸盐,,80703,5389,0003 德国-Mole,2011-1-18,,5公斤,0,180/公斤,USD295,TNT,,,295,900,500,389 624 348,,,,0,谢小姐86-535-6527629,烟台奥东化学材料有限公司,0,,,,蓝海霞,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4778,1,7281-04-1,十二烷基二甲基苄基溴化铵,,32539,5942,0002-英国-Mol,2011-1-18,5~8天,2公斤,0,120元/2公斤,USD198,TNT,,,198,120,767,389 624 334,,,,0,13706274582张杰,如皋市万利化工有限责任公司,0,,,,倪华英,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4779,1,64325-78-6,N6-苯甲酰基-5'-O-(4comma_format_wuq4'-二甲氧基三苯基)-2'-脱氧腺苷,N(6)-Benzoyl-5'-O-(4comma_format_wuq4'-dimethoxytrityl)-2'-deoxyadenosine,80702,5391,0003-德国-Mol,2011-1-18,5~8天,10g,0,400/10克,USD145,TNT,,,145,400,490,389 624 348,,,,0,吴经理0553-5842013,芜湖华仁科技有限公司,0,,,,赵国梁,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4780,1,10572-16-4,3-(对硝基苯氧基)丙酸,3-(4-Nitrophenoxy)propionic acid,80701,5392,0003-德国-Mol,2011-1-18,5~8天,500克,0,2500/500克,USD583,TNT,,,583,2500,1089,389 624 348,,,,0,13706205626-李先生,苏州市博科化学有限公司,0,,,,倪华英,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4781,1,771-69-7,2comma_format_wuq3comma_format_wuq4-三氟硝基苯,2comma_format_wuq3comma_format_wuq4-Trifluoronitrobenzene,80691,,0003-德国-Mol,2011-1-18,8~10天,70公斤,0,135/公斤,USD1960,空运,,,1960,9450,0,,,,,0,王小姐0576-85588188,浙江永太化学有限公司,0,,,,蓝海霞,0,1,1,0,0,,1,,1,1,0,0,0,,0,1,,,0,,,核销单号码:786224605
4782,1,87392-07-2,(S)-四氢呋喃-2-甲酸,(S)-(-)-Tetrahydro-2-furoic acid,32528,,0002-英国-Mol,2011-1-18,,1kg,0,3500,USD590/公斤,TNT,,,590,0,135,389 624 229,,,,0,陈小姐 028-85210710,成都丽凯手性技术有限公司,0,,,,马燕芬,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4783,1,21245-02-3,对-Ncomma_format_wuqN-二甲氨基苯甲酸异辛酯,,32540,5944,0002-英国-Mol,2011-1-18,5~8天,4公斤,0,150/公斤,USD220,TNT,,,220,600,480,389 624 334,,,,0,,,0,,,,倪华英,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4784,1,132-17-2,甲磺酸苯扎托品,Benztropine mesylate,,,0008-德国-ABX,2011-1-19,5~8天,50克,0,800/50克,USD260,TNT,,,260,800,740,389 624 060,,,,0,俞先生 0571 88932183,杭州众昌科技有限公司,0,,,,蓝海霞,0,1,1,1,0,,0,,1,0,0,0,0,,0,1,,,0,,,
